FP32_ms,INT8_ms
7.9113999381661415,4.985600244253874
7.0282998494803905,4.7994996421039104
6.137299817055464,4.902100190520287
8.44949996098876,4.627900198101997
5.637200083583593,4.525700118392706
6.223899777978659,4.60729980841279
5.727100186049938,5.027499981224537
6.75420043990016,4.4248998165130615
5.016599781811237,4.222500137984753
4.936699755489826,5.403699818998575
6.544000003486872,4.308399744331837
5.168600007891655,4.265100229531527
4.974700044840574,4.195100162178278
6.3056000508368015,6.28259964287281
4.732599947601557,5.717399995774031
4.71699982881546,6.013999693095684
5.494900047779083,5.674100015312433
4.572500009089708,5.576400086283684
4.324400331825018,5.991499871015549
4.344400018453598,5.781200248748064
4.325699992477894,5.600099917501211
4.11419989541173,5.727499723434448
3.981499932706356,4.227999597787857
4.948199726641178,4.978700075298548
3.398899920284748,5.091399885714054
3.212700132280588,4.61219996213913
3.0289003625512123,4.302599932998419
3.6073997616767883,4.314200021326542
3.5713999532163143,4.543199669569731
3.117899876087904,4.332399927079678
3.0109998770058155,4.255800042301416
2.9854997992515564,4.677299875766039
3.7413998506963253,3.726100083440542
4.460600204765797,3.2306001521646976
4.150200169533491,3.181400243192911
3.9947000332176685,3.1554000452160835
4.110600333660841,3.7229000590741634
3.9415000937879086,3.3980002626776695
3.2824003137648106,3.2957997173070908
4.126499872654676,3.268300089985132
4.253000020980835,4.4247000478208065
4.052300006151199,3.9484002627432346
4.037800244987011,3.524600062519312
3.9206002838909626,3.4113996662199497
4.580200184136629,3.5491003654897213
4.403600003570318,3.4775002859532833
4.119999706745148,3.518800251185894
4.015099722892046,3.3819000236690044
4.324800334870815,3.3880998380482197
5.564299877732992,5.019000265747309
4.527099896222353,4.7773998230695724
4.873000085353851,4.606700036674738
4.629800096154213,4.95539978146553
4.284100141376257,4.621999803930521
5.11989975348115,4.28210012614727
4.929700400680304,4.248000215739012
4.70300018787384,5.2224998362362385
4.419500008225441,4.466000013053417
6.566999945789576,4.363699816167355
6.366499699652195,4.989000037312508
6.08339998871088,4.144300241023302
4.13479981943965,4.368099849671125
4.161700140684843,4.168200306594372
4.154799971729517,4.092200193554163
14.950599987059832,4.034900106489658
6.109400186687708,4.2236000299453735
12.870799750089645,4.235199652612209
4.789600148797035,4.292199853807688
4.742500372231007,4.055500030517578
93.0644003674388,3.9649000391364098
93.00100011751056,3.8920999504625797
17.380100209265947,4.5276000164449215
20.328300073742867,4.445099737495184
14.095999766141176,4.437899682670832
8.918399922549725,5.205899942666292
9.26299998536706,4.85659996047616
6.456499919295311,3.974699880927801
8.730900008231401,4.727400373667479
7.09840003401041,4.7681997530162334
5.869199987500906,4.523399751633406
7.158500142395496,4.54379990696907
7.835000287741423,6.2408000230789185
7.179100066423416,4.493699874728918
7.715699728578329,4.2686001397669315
7.539399899542332,4.604399669915438
8.11269972473383,4.362400155514479
9.63400024920702,4.177100025117397
8.870299905538559,4.357199650257826
9.652400389313698,4.247699864208698
5.405099596828222,4.184400197118521
7.594299968332052,4.055200144648552
7.331999950110912,4.471700172871351
5.727900192141533,4.327999893575907
18.576399888843298,4.088999703526497
7.225200068205595,4.071800038218498
8.211600128561258,4.890600219368935
7.540999911725521,4.284599795937538
7.087499834597111,4.088699817657471
9.27169993519783,5.442500114440918
7.118400186300278,4.517000168561935
8.578600361943245,4.1322000324726105
7.3585002683103085,4.041600041091442
10.26879996061325,5.344199948012829
5.143399816006422,4.416400101035833
5.311400163918734,4.135499708354473
4.7356002032756805,5.120200105011463
4.4929999858140945,4.3067000806331635
4.956100136041641,4.193699918687344
3.862400073558092,4.090399947017431
3.613600041717291,5.135700106620789
3.6697997711598873,4.246399737894535
4.064599983394146,4.084500018507242
5.292899906635284,4.248599987477064
4.617400001734495,4.154200199991465
4.735100083053112,4.167499952018261
5.133099853992462,4.05300036072731
4.685699939727783,4.920299630612135
4.486999940127134,4.3577998876571655
4.756199661642313,4.0524001233279705
4.8640999011695385,3.937599714845419
4.4121998362243176,4.065999761223793
6.459000054746866,4.155200440436602
5.021499935537577,4.49589965865016
5.1565999165177345,4.928600043058395
4.873799625784159,4.428300075232983
7.019800134003162,4.326700232923031
6.598199717700481,4.087700042873621
4.817199893295765,4.789699800312519
4.626499954611063,4.304399713873863
4.539099987596273,4.250700119882822
4.918999969959259,4.507000092417002
4.801000002771616,4.271300043910742
4.445500206202269,4.0976000018417835
4.8155998811125755,4.285200033336878
5.096999928355217,6.177300121635199
4.78710001334548,4.559400025755167
5.096199922263622,4.3487995862960815
4.659899976104498,5.211200099438429
4.672599956393242,4.397700075060129
4.798999987542629,4.133699927479029
7.283899933099747,4.264000337570906
6.034700199961662,4.416899755597115
4.2328000999987125,4.085400141775608
3.670400008559227,4.100199788808823
5.466299597173929,4.186500329524279
4.507900215685368,4.564499948173761
4.350600298494101,4.169999621808529
4.772700369358063,4.190200008451939
4.483000375330448,4.814999643713236
5.290000233799219,4.4097998179495335
4.965899977833033,4.323400091379881
4.456599708646536,4.269300028681755
4.386499989777803,5.443800240755081
4.446099977940321,4.630400333553553
4.906900227069855,4.38949977979064
4.478299990296364,5.002499558031559
4.541200120002031,4.598900210112333
4.861199762672186,4.360700026154518
3.7623001262545586,4.274100065231323
3.750100266188383,4.988200031220913
4.133699927479029,4.569000098854303
4.070799797773361,4.512300249189138
4.282600246369839,4.312500357627869
4.147600382566452,3.7102000787854195
4.170500207692385,3.562700003385544
5.119999870657921,3.5671996884047985
3.9886003360152245,4.0413998067379
3.9734002202749252,4.499600268900394
3.9866999723017216,4.403299652040005
4.179799929261208,4.347600042819977
3.8711000233888626,4.604500252753496
3.840300254523754,3.493699710816145
3.8913004100322723,3.2917000353336334
4.3525998480618,3.2639000564813614
4.078600089997053,4.159300122410059
3.936000168323517,4.7172000631690025
4.067099653184414,4.437299910932779
4.72399964928627,4.567199852317572
4.061599727720022,5.299200303852558
3.986099734902382,5.023399833589792
5.462399683892727,4.63719991967082
5.972700193524361,4.803600255399942
5.647100042551756,5.281600169837475
6.945299915969372,4.570799879729748
4.71160002052784,4.827800206840038
4.46790037676692,4.74590016528964
5.21499989554286,4.444199614226818
4.241399932652712,4.4479998759925365
4.086100030690432,3.2616001553833485
4.12019994109869,3.289199899882078
4.583599977195263,3.805899992585182
4.051500000059605,3.2456000335514545
3.9380001835525036,4.473099950700998
4.366499837487936,4.516599699854851
4.107399843633175,4.448600113391876
3.9381999522447586,4.476199857890606
3.896899987012148,4.469000268727541
3.9578001014888287,4.397400189191103
4.017400089651346,4.466899670660496
3.8882996886968613,5.122100003063679
3.8534998893737793,4.5310999266803265
4.8858001828193665,4.460100084543228
4.315200261771679,5.041900090873241
4.010000266134739,4.684200044721365
3.9470000192523003,4.467200022190809
4.553200211375952,4.755199886858463
4.212900064885616,4.612799733877182
4.048199858516455,4.431199748069048
4.026500042527914,4.648800007998943
5.474899895489216,5.194199737161398
4.283600021153688,4.516699817031622
4.075199831277132,4.174800124019384
5.332000087946653,4.650400020182133
4.98529989272356,4.221499897539616
4.211400169879198,4.091599956154823
4.176500253379345,4.061299841850996
4.220400005578995,4.309799987822771
4.590299911797047,3.312100190669298
4.1657001711428165,3.2211001962423325
4.072600044310093,3.1844000332057476
3.952499944716692,3.3010998740792274
4.015100188553333,4.205700010061264
3.9395997300744057,3.588200081139803
4.247699864208698,3.449599724262953
4.025399684906006,3.433399833738804
4.117599688470364,5.191499833017588
4.01809997856617,3.8005998358130455
4.606499802321196,3.794499672949314
4.037300124764442,3.518899902701378
4.120099823921919,4.85560018569231
3.9658001624047756,4.609299823641777
4.652000032365322,4.430099856108427
4.088199697434902,4.64210007339716
4.214999731630087,4.703900311142206
4.740600008517504,4.42209979519248
4.1231997311115265,4.307300318032503
3.997399937361479,4.545599687844515
4.156599752604961,4.497299902141094
4.321400076150894,4.083199892193079
3.5337996669113636,5.1772999577224255
3.4525999799370766,3.9172000251710415
3.4454003907740116,3.432400058954954
3.4572998993098736,3.3335997723042965
4.912099801003933,3.9048995822668076
4.422900266945362,4.5350999571383
4.335499834269285,4.679500125348568
5.3910003043711185,4.361699800938368
4.0480000898242,4.043999593704939
4.021500237286091,3.4456998109817505
4.173600114881992,3.1966003589332104
4.1724001057446,3.150900360196829
4.144200123846531,3.933199681341648
3.916500136256218,4.657200071960688
4.251100122928619,4.567199852317572
4.484000150114298,4.382799845188856
4.65680006891489,4.879099782556295
5.206599831581116,4.5737000182271
6.480599753558636,4.541400354355574
5.772599950432777,4.543600138276815
6.077200174331665,4.36190003529191
5.572499707341194,4.440799821168184
5.2572996355593204,4.403500352054834
6.0177999548614025,3.8256999105215073
5.410300102084875,3.2029002904891968
5.2721998654305935,3.325799945741892
5.485400091856718,3.298200201243162
5.464600399136543,3.4892000257968903
5.124500021338463,3.3394000492990017
5.742799956351519,3.206700086593628
5.562900099903345,3.39040020480752
5.039200186729431,3.335199784487486
4.921100102365017,4.406000021845102
4.785199649631977,4.834699910134077
4.682200029492378,4.118700046092272
5.179999861866236,4.81970002874732
5.477200262248516,4.457599949091673
4.467799793928862,4.023199900984764
4.577700048685074,4.0974002331495285
4.501999821513891,4.801100119948387
4.322899971157312,4.217300098389387
4.204099997878075,4.104400053620338
4.321900196373463,4.182400181889534
4.224100150167942,4.931500181555748
4.295699764043093,4.306500311940908
4.165000282227993,4.1415998712182045
4.510400351136923,4.55040019005537
4.320899955928326,4.201599862426519
4.2190998792648315,4.086699802428484
4.430999979376793,4.068499896675348
4.172199871391058,5.579799879342318
4.1970000602304935,5.832599941641092
4.3115997686982155,5.6441002525389194
4.317400045692921,4.514699801802635
4.141699988394976,4.317199811339378
4.294800106436014,4.279700107872486
4.120899830013514,4.945400170981884
4.499900154769421,4.406000021845102
4.427699837833643,4.187900107353926
4.464300349354744,4.159200005233288
4.692099988460541,5.21069997921586
